	Subject	Session	Mean FCI Accuracy	Mean Control Accuracy	Mean FCI RT	Mean Control RT	Mean FCI Screen1 RT	Mean FCI Screen2 RT	Mean FCI Screen3 RT	Mean Control Screen1 RT	Mean Control Screen2 RT	Mean Control Screen3 RT	Gender	Class	Group
112	467	session-0	0.666667	1.0	22088.111111	17970.333333	8706.555556	6815.444444	6566.111111	8047.333333	4442.777778	5480.222222	M	Trad	M_Trad
113	467	session-1	0.777778	1.0	20687.444444	13379.333333	6755.888889	5312.777778	8618.777778	6531.555556	2935.555556	3912.222222	M	Trad	M_Trad
114	468	session-0	0.333333	1.0	24983.0	16631.444444	7130.444444	7010.333333	10842.222222	5738.777778	2379.555556	8513.111111	M	Trad	M_Trad
115	468	session-1	0.555556	1.0	22747.111111	14854.666667	6303.333333	7708.444444	8735.333333	6237.111111	1965.888889	6651.666667	M	Trad	M_Trad
116	469	session-0	0.555556	1.0	23420.777778	18077.222222	8733.888889	7220.444444	7466.444444	7424.666667	4221.888889	6430.666667	M	Mod	M_Mod
117	469	session-1	0.444444	1.0	23684.111111	15968.222222	6718.888889	5051.555556	11913.666667	6758.222222	2899.666667	6310.333333	M	Mod	M_Mod
118	470	session-0	0.444444	1.0	19361.333333	16664.888889	5706.555556	4452.666667	9202.111111	6283.888889	3066.555556	7314.444444	M	Trad	M_Trad
119	470	session-1	0.555556	1.0	19275.888889	14126.888889	5614.222222	4947.0	8714.666667	5794.777778	2752.888889	5579.222222	M	Trad	M_Trad
120	502	session-0	0.333333	1.0	27602.111111	14167.0	6724.555556	5562.444444	15315.111111	5666.333333	2557.888889	5942.777778	F	Mod	F_Mod
121	502	session-1	0.333333	1.0	23903.333333	15386.0	7210.0	6454.555556	10238.777778	6412.666667	2616.555556	6356.777778	F	Mod	F_Mod
122	503	session-0	0.666667	1.0	23166.0	14992.888889	6789.666667	4952.555556	11423.777778	6848.666667	2668.555556	5475.666667	M	Mod	M_Mod
123	503	session-1	0.777778	1.0	16475.222222	11082.666667	4679.666667	4019.777778	7775.777778	4944.555556	2004.777778	4133.333333	M	Mod	M_Mod
124	571	session-0	0.222222	1.0	18852.444444	15576.888889	7477.555556	4372.111111	7002.777778	6624.888889	2816.555556	6135.444444	M	Mod	M_Mod
125	571	session-1	0.222222	1.0	24454.0	17723.444444	6384.222222	5154.0	12915.777778	6048.333333	2950.333333	8724.777778	M	Mod	M_Mod
126	572	session-0	0.444444	1.0	20390.0	17197.333333	8907.444444	4820.333333	6662.222222	8496.333333	3526.222222	5174.777778	F	Mod	F_Mod
127	572	session-1	0.888889	1.0	20206.777778	17394.777778	7561.777778	4867.888889	7777.111111	8763.555556	3127.111111	5504.111111	F	Mod	F_Mod
