	Subject	Session	Mean FCI Accuracy	Mean Control Accuracy	Mean FCI RT	Mean Control RT	Mean FCI Screen1 RT	Mean Control Screen1 RT	Mean FCI Screen2 RT	Mean Control Screen2 RT	Mean FCI Screen3 RT	Mean Control Screen3 RT	Gender	Class	Group
147	586	session-0	0.666667	1	21795.88889	17349	5958.333333	5709.666667	4395	2803	11442.55556	8836.333333	M	Trad	M_Trad
148	586	session-1	0.666667	1	22808.22222	17474.44444	6409.888889	7528	3838.666667	2225	12559.66667	7721.444444	M	Trad	M_Trad
149	587	session-0	0.555556	1	25374	13760.77778	5837.666667	6131	5707.777778	2404.333333	13828.55556	5225.444444	M	Trad	M_Trad
150	587	session-1	0.777778	1	18411	14795.77778	5421.222222	5938.333333	3945.111111	2696.333333	9044.666667	6161.111111	M	Trad	M_Trad
151	588	session-0	0.222222	1	20352.88889	16987.77778	6512.444444	6640	4803.666667	3047.444444	9036.777778	7300.333333	F	Trad	F_Trad
152	588	session-1	0.555556	0.888889	19129.11111	20278.33333	5460.777778	6148	3972.333333	3536.888889	9696	10593.44444	F	Trad	F_Trad
153	589	session-0	0	1	19769.22222	16531	7116.111111	6215.777778	4925.666667	2960.111111	7727.444444	7355.111111	F	Mod	F_Mod
154	589	session-1	0.555556	1	19627.22222	14294.44444	5677	4956.888889	5143.444444	2206	8806.777778	7131.555556	F	Mod	F_Mod
156	591	session-0	0.222222	0.888889	23498.55556	15718.66667	7753.888889	6278.777778	5007.777778	3310.777778	10736.88889	6129.111111	F	Mod	F_Mod
157	591	session-1	0.555556	1	25282.55556	14209.55556	6160.333333	7021.222222	7668.333333	2538	11453.88889	4650.333333	F	Mod	F_Mod
158	592	session-0	0.333333	1	27011.11111	25562.88889	11503.66667	11777.22222	11304.88889	11005	4202.555556	2780.666667	F	Trad	F_Trad
159	592	session-1	0.444444	1	20850.44444	14153.44444	5053.333333	6367.777778	5811.222222	2242.111111	9985.888889	5543.555556	F	Trad	F_Trad
160	593	session-0	0.333333	1	26819.22222	20071	8219.666667	8266.444444	6651.444444	4828	11948.11111	6976.555556	F	Trad	F_Trad
161	593	session-1	0.333333	1	21052.55556	14441.22222	5606.333333	6084.444444	4426.888889	2001.444444	11019.33333	6355.333333	F	Trad	F_Trad
162	594	session-0	0.444444	1	17596.88889	15037.77778	5920	6734.888889	5200.666667	2310	6476.222222	5992.888889	M	Mod	M_Mod
163	594	session-1	0.666667	1	15650.33333	14200.77778	6151.555556	6256.555556	4185.333333	2203.444444	5313.444444	5740.777778	M	Mod	M_Mod
164	595	session-0	0.444444	1	18798.33333	16134.66667	7620.777778	9028.222222	4186.333333	2068.888889	6991.222222	5037.555556	M	Mod	M_Mod
165	595	session-1	0.444444	1	22355.55556	23385.22222	10077.44444	12112	5137	4743.111111	7141.111111	6530.111111	M	Mod	M_Mod
166	596	session-0	0.555556	1	28823.33333	21748.33333	9057.888889	9356.444444	10164.66667	4826.777778	9600.777778	7565.111111	M	Mod	M_Mod
167	596	session-1	0.777778	1	18930.11111	18673.66667	6705.777778	8824.333333	4949.888889	3398.777778	7274.444444	6450.555556	M	Mod	M_Mod
168	597	session-0	0.555556	1	19721	18990.22222	8625.777778	9321.888889	5985.666667	4744.333333	5109.555556	4924	M	Trad	M_Trad
169	597	session-1	0.444444	0.888889	20041.22222	19954.88889	8802.333333	10812.44444	6583.777778	4811.111111	4655.111111	4331.333333	M	Trad	M_Trad
170	598	session-0	0.777778	1	21800.55556	14157.22222	5875.888889	4825.666667	4987.222222	2844	10937.44444	6487.555556	M	Trad	M_Trad
171	598	session-1	0.888889	1	21065	11413.33333	3886.111111	3865.555556	5367	2001.777778	11811.88889	5546	M	Trad	M_Trad
172	604	session-0	0.111111	1	19372.44444	16467.33333	7134.777778	7491.111111	4259.111111	3233.888889	7978.555556	5742.333333	M	Mod	M_Mod
173	604	session-1	0.222222	0.888889	19081	14283.66667	7340	7392.111111	3798.666667	2283.888889	7942.333333	4607.666667	M	Mod	M_Mod
174	605	session-0	0.666667	1	27338.22222	19203.55556	9347	8131.222222	6077.333333	3829.777778	11913.88889	7242.555556	F	Trad	F_Trad
175	605	session-1	0.111111	1	27751.33333	16876.66667	7828.333333	7691.333333	6933.222222	3779	12989.77778	5406.333333	F	Trad	F_Trad
176	606	session-0	0.777778	0.888889	25676.44444	17995	7315.111111	7410.888889	6827	3614.666667	11534.33333	6969.444444	M	Trad	M_Trad
177	606	session-1	0.777778	1	23717.77778	12892.66667	6359.111111	5792.888889	5032.111111	2245.111111	12326.55556	4854.666667	M	Trad	M_Trad
178	607	session-0	1	1	24751.11111	15635	8584.888889	7097.222222	7262.444444	3115.333333	8903.777778	5422.444444	M	Trad	M_Trad
179	607	session-1	1	1	12944.88889	13042.88889	5199.333333	6688.777778	3325.555556	1752.444444	4420	4601.666667	M	Trad	M_Trad
180	608	session-0	0.444444	0.888889	19771.55556	16637.44444	5875.111111	5681.666667	4761.333333	3064.111111	9135.111111	7891.666667	M	Trad	M_Trad
181	608	session-1	0.666667	1	15288.88889	16195.22222	5178.888889	5516.222222	3408.666667	2640.666667	6701.333333	8038.333333	M	Trad	M_Trad
182	609	session-0	0.666667	1	24009.88889	16550.22222	8044	8341.222222	8201.888889	3336.222222	7764	4872.777778	M	Mod	M_Mod
183	609	session-1	0.888889	1	18911.66667	14418	7079.555556	7577.111111	4575.555556	2675	7256.555556	4165.888889	M	Mod	M_Mod
184	610	session-0	0.333333	1	15456.77778	12728.33333	6550.444444	6248.888889	4911.111111	2981.333333	3995.222222	3498.111111	M	Mod	M_Mod
185	610	session-1	0.555556	0.888889	15680.33333	13146.66667	7129.444444	6898.888889	5419.111111	3155	3131.777778	3092.777778	M	Mod	M_Mod
187	612	session-0	0.444444	1	23029.77778	14514.66667	6691.444444	7126.222222	6212.333333	2829.333333	10126	4559.111111	M	Mod	M_Mod
188	612	session-1	0.777778	1	17821.22222	13291.66667	5569.111111	6113.666667	2882.222222	2157.888889	9369.888889	5020.111111	M	Mod	M_Mod
189	613	session-0	0.777778	1	24057.88889	14539.33333	8103	7035.444444	7116.555556	2397.777778	8838.333333	5106.111111	M	Trad	M_Trad
190	613	session-1	0.666667	1	13639.22222	16104.88889	5948.666667	7721.777778	3499.111111	2094.666667	4191.444444	6288.444444	M	Trad	M_Trad
191	614	session-0	0.666667	1	21522.66667	19615.11111	6413.555556	6498.111111	5384.888889	2507.777778	9724.222222	10609.22222	F	Trad	F_Trad
192	614	session-1	0.555556	0.888889	23791.88889	20776.55556	7228.333333	7706.888889	3789.111111	2839.444444	12774.44444	10230.22222	F	Trad	F_Trad
193	615	session-0	0.333333	1	17633.11111	16161.77778	8121.444444	7602.333333	5008.555556	3558.555556	4503.111111	5000.888889	F	Trad	F_Trad
194	615	session-1	0.777778	1	23034.55556	19849.44444	10817.66667	10313	5510.888889	4966.888889	6706	4569.555556	F	Trad	F_Trad
